                   NAME, ALG, S, METH,SOUT,   MbpsGPU, MbpsCPU, FAKT,T_PROC,T_COAL,  T_CPU, CT,DST, ALEN,NRSTRING,   MB,  MEAN,  STDDEF,  MAXL, THRDS,GRID* BLK
GPU_001_U8_NOBR_000_256,GPU, 01, NOBR, 256,   1487.53,  215.11,  6.9,  2.92,  5.48,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_001_U8_NEXT_000_000,GPU, 01, NEXT, 000,   1355.16,  215.11,  6.3,  3.62,  5.60,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_001_U8_NEXT_000_256,GPU, 01, NEXT, 256,   1303.62,  215.11,  6.1,  4.10,  5.49,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_001_U8_NOBR_000_000,GPU, 01, NOBR, 000,   1516.95,  215.11,  7.1,  2.55,  5.69,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_001_U8_NOBR_000_256,GPU, 01, NOBR, 256,   1446.24,  215.11,  6.7,  2.91,  5.74,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_016_U8_NEXT_000_000,GPU, 16, NEXT, 000,    226.01,  215.11,  1.1, 50.06,  5.25,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,   128,     4* 32
GPU_016_U8_NEXT_000_256,GPU, 16, NEXT, 256,    185.71,  215.11,  0.9, 62.29,  5.02,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,   128,     4* 32
GPU_016_U8_NOBR_000_000,GPU, 16, NOBR, 000,    358.45,  215.11,  1.7, 29.91,  4.96,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,   128,     4* 32
GPU_016_U8_NOBR_000_256,GPU, 16, NOBR, 256,    263.91,  215.11,  1.2, 42.44,  4.93,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,   128,     4* 32
GP2_001_U8_NOBR_000_000,GP2, 01, NOBR, 000,   2646.06,  215.11, 12.3,  1.92,  2.80,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_004,GP2, 01, NOBR, 004,   2622.74,  215.11, 12.2,  1.92,  2.84,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_008,GP2, 01, NOBR, 008,   2608.84,  215.11, 12.1,  1.92,  2.87,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_016,GP2, 01, NOBR, 016,   2581.79,  215.11, 12.0,  1.91,  2.93,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_032,GP2, 01, NOBR, 032,   2542.67,  215.11, 11.8,  1.92,  2.99,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_064,GP2, 01, NOBR, 064,   2525.71,  215.11, 11.7,  1.93,  3.02,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_128,GP2, 01, NOBR, 128,   2558.07,  215.11, 11.9,  1.92,  2.97,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOBR_000_256,GP2, 01, NOBR, 256,   2536.83,  215.11, 11.8,  1.91,  3.02,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NEXT_000_256,GP2, 01, NEXT, 256,   1693.63,  215.11,  7.9,  3.16,  4.22,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NEXT_000_128,GP2, 01, NEXT, 128,   1713.53,  215.11,  8.0,  3.16,  4.14,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GP2_001_U8_NOB2_000_032,GP2, 01, NOB2, 032,   2590.51,  215.11, 12.0,  1.89,  2.93,  58.11, FV,FIX, 8192,   1600,    12,  8192,    0.02,  8192,  1600,    50* 32
GPU_001_U8_NOBR_000_256,GPU, 01, NOBR, 256,   1345.76,  185.16,  7.3,  2.38,  6.91,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_001_U8_NEXT_000_000,GPU, 01, NEXT, 000,    646.73,  185.16,  3.5, 12.52,  6.81,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_001_U8_NEXT_000_256,GPU, 01, NEXT, 256,   1369.28,  185.16,  7.4,  2.34,  6.79,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_001_U8_NOBR_000_000,GPU, 01, NOBR, 000,    584.42,  185.16,  3.2, 14.57,  6.81,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_001_U8_NOBR_000_256,GPU, 01, NOBR, 256,   1346.36,  185.16,  7.3,  2.41,  6.88,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_016_U8_NEXT_000_000,GPU, 16, NEXT, 000,   1411.17,  185.16,  7.6,  2.78,  6.08,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256,  3200,   100* 32
GPU_016_U8_NEXT_000_256,GPU, 16, NEXT, 256,    983.40,  185.16,  5.3,  6.49,  6.23,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256,  3200,   100* 32
GPU_016_U8_NOBR_000_000,GPU, 16, NOBR, 000,   1515.76,  185.16,  8.2,  2.07,  6.18,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256,  3200,   100* 32
GPU_016_U8_NOBR_000_256,GPU, 16, NOBR, 256,   1031.00,  185.16,  5.6,  5.86,  6.26,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256,  3200,   100* 32
GP2_001_U8_NOBR_000_000,GP2, 01, NOBR, 000,    857.62,  185.16,  4.6,  0.87, 13.71,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_004,GP2, 01, NOBR, 004,   1992.60,  185.16, 10.8,  0.87,  5.40,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_008,GP2, 01, NOBR, 008,   2670.94,  185.16, 14.4,  0.86,  3.82,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_016,GP2, 01, NOBR, 016,   3098.51,  185.16, 16.7,  0.87,  3.16,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_032,GP2, 01, NOBR, 032,   3517.86,  185.16, 19.0,  0.87,  2.68,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_064,GP2, 01, NOBR, 064,   3581.05,  185.16, 19.3,  0.93,  2.56,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_128,GP2, 01, NOBR, 128,   3654.86,  185.16, 19.7,  0.89,  2.53,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOBR_000_256,GP2, 01, NOBR, 256,   3719.91,  185.16, 20.1,  0.87,  2.49,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NEXT_000_256,GP2, 01, NEXT, 256,   3421.10,  185.16, 18.5,  1.10,  2.55,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NEXT_000_128,GP2, 01, NEXT, 128,   3438.22,  185.16, 18.6,  1.10,  2.54,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GP2_001_U8_NOB2_000_032,GP2, 01, NOB2, 032,   3080.56,  185.16, 16.6,  1.17,  2.89,  67.51, FV,FIX,  256,  51200,    12,   256,    0.00,   256, 51200,  1600* 32
GPU_001_U8_NOBR_000_256,GPU, 01, NOBR, 256,    917.16,  190.77,  4.8,  1.45, 12.18,  65.52, FV,FIX,   16, 819200,    12,    16,    0.00,    16,819200, 25600* 32
